ID,Nama,Jenis Kelamin,Usia,Tingkat Pendidikan,Pendapatan,Pengeluaran,Jam Kerja,Wilayah,Promo,Skor Loyalitas,Skor Kesehatan,Departemen,Pengalaman (Tahun),Hasil
29,Individu-29,Perempuan,64,Sarjana,7234.02,14014.55,73,Suburban,No,82.84,77.48,Operations,34,Average
30,Individu-30,Laki-Laki,19,Sarjana,5987.3,1137.92,68,Urban,No,29.98,95.9,HR,38,Low Performer
31,Individu-31,Perempuan,26,Diploma,27166.55,6767.69,26,Urban,No,32.25,77.31,Operations,19,Low Performer
32,Individu-32,Perempuan,22,Doktor,4361.59,12598.39,33,Suburban,No,92.94,64.37,IT,24,Average
33,Individu-33,Perempuan,50,SMA,26138.26,8745.12,49,Rural,No,21.26,62.2,Finance,32,Low Performer
34,Individu-34,Perempuan,31,Diploma,3485.62,11348.46,68,Rural,Yes,50.03,96.7,Operations,18,Average
35,Individu-35,Perempuan,63,Magister,7817.75,1506.76,72,Rural,No,7.16,70.49,Finance,33,Low Performer
36,Individu-36,Laki-Laki,25,Sarjana,6094.17,8381.38,19,Rural,No,85.81,94.59,Operations,24,High Performer
37,Individu-37,Perempuan,59,Diploma,19493.19,5109.88,32,Rural,Yes,61.59,82.26,Marketing,15,Average
38,Individu-38,Laki-Laki,36,Magister,25773.11,8241.61,19,Suburban,Yes,74.77,73.53,Marketing,11,Average
39,Individu-39,Laki-Laki,35,Diploma,13070.95,17293.47,43,Suburban,Yes,11.46,67.09,Marketing,1,Low Performer
40,Individu-40,Perempuan,64,SMA,10506.65,13384.65,12,Rural,No,67.95,74.87,Finance,15,Average
41,Individu-41,Laki-Laki,30,Sarjana,21967.01,10886.41,12,Rural,Yes,17.98,66.79,IT,25,Low Performer
42,Individu-42,Perempuan,64,Magister,14657.95,13344.29,60,Rural,Yes,71.43,78.3,Operations,35,Average
43,Individu-43,Perempuan,30,SMA,2935.57,3398.63,33,Urban,Yes,41.05,79.0,Finance,31,Low Performer
44,Individu-44,Laki-Laki,57,Magister,10099.85,6608.4,79,Urban,No,75.37,97.74,Operations,17,Average
45,Individu-45,Laki-Laki,25,Diploma,13288.59,1923.27,30,Suburban,Yes,50.33,87.74,HR,35,Average
46,Individu-46,Perempuan,24,Sarjana,24314.8,7196.09,23,Rural,No,53.68,89.7,HR,19,Average
47,Individu-47,Perempuan,60,Doktor,28818.5,12707.63,45,Urban,Yes,39.3,72.78,HR,20,Low Performer
48,Individu-48,Laki-Laki,65,Diploma,26766.01,6860.41,62,Urban,Yes,89.5,76.92,IT,20,Average
49,Individu-49,Laki-Laki,22,SMA,12486.46,16523.41,26,Urban,No,61.52,66.76,Finance,37,Average
50,Individu-50,Laki-Laki,48,Diploma,23515.34,15552.26,17,Suburban,No,91.0,50.35,Operations,37,Average
51,Individu-51,Perempuan,63,Diploma,18723.4,9287.19,73,Urban,No,29.77,76.62,Operations,10,Low Performer
52,Individu-52,Perempuan,43,Doktor,15136.69,2538.4,20,Suburban,Yes,50.72,88.54,HR,31,Average
53,Individu-53,Laki-Laki,19,Magister,22674.28,6023.98,56,Rural,Yes,98.81,98.62,HR,6,High Performer
54,Individu-54,Laki-Laki,41,Diploma,19423.24,19518.5,40,Urban,Yes,99.23,50.24,Operations,8,Average
55,Individu-55,Perempuan,58,Magister,3906.2,3042.92,70,Suburban,Yes,4.46,80.2,Finance,4,Low Performer
56,Individu-56,Laki-Laki,54,Diploma,19871.25,13430.12,35,Urban,No,75.8,69.82,Marketing,35,Average
57,Individu-57,Laki-Laki,25,SMA,29485.08,12340.36,80,Urban,Yes,13.77,62.35,IT,32,Low Performer
58,Individu-58,Perempuan,29,SMA,2597.82,9293.44,26,Rural,No,51.23,65.14,HR,18,Average
59,Individu-59,Perempuan,19,Doktor,5045.22,9312.34,26,Rural,No,83.37,83.6,Marketing,15,High Performer
60,Individu-60,Perempuan,43,Magister,24231.57,9449.71,48,Suburban,Yes,62.33,98.93,IT,18,Average
61,Individu-61,Perempuan,61,Magister,23959.92,4529.17,29,Rural,No,11.86,59.35,Operations,16,Low Performer
62,Individu-62,Perempuan,43,Sarjana,6164.37,5860.46,43,Rural,Yes,54.45,60.54,Finance,35,Average
63,Individu-63,Laki-Laki,39,SMA,12239.97,12039.94,69,Urban,No,86.55,89.51,Marketing,7,High Performer
64,Individu-64,Perempuan,28,Magister,11749.35,18701.03,47,Urban,Yes,79.16,50.41,Finance,35,Average
65,Individu-65,Laki-Laki,36,SMA,4613.99,13959.42,11,Suburban,Yes,11.12,61.56,Operations,25,Low Performer
66,Individu-66,Laki-Laki,64,Magister,23118.89,19824.56,10,Urban,No,40.25,97.9,HR,5,Low Performer
67,Individu-67,Perempuan,30,Diploma,19676.81,5490.62,54,Urban,No,30.59,84.34,Operations,17,Low Performer
68,Individu-68,Perempuan,64,Doktor,24022.51,1097.78,21,Urban,No,7.9,90.75,IT,10,Low Performer
69,Individu-69,Laki-Laki,54,Diploma,23940.41,6435.77,71,Urban,No,97.16,59.24,IT,1,Average
70,Individu-70,Perempuan,45,SMA,3505.17,6286.88,72,Rural,Yes,84.24,89.0,Marketing,27,High Performer
71,Individu-71,Laki-Laki,42,Diploma,18046.96,14883.93,62,Urban,Yes,20.17,62.34,HR,30,Low Performer
72,Individu-72,Perempuan,54,SMA,18882.4,8985.43,57,Urban,Yes,35.11,63.03,Marketing,9,Low Performer
73,Individu-73,Perempuan,22,Doktor,21996.43,2776.03,26,Suburban,No,73.75,51.03,IT,10,Average
74,Individu-74,Perempuan,23,Sarjana,19707.13,1534.94,20,Suburban,Yes,35.97,65.41,HR,6,Low Performer
75,Individu-75,Perempuan,30,Sarjana,28145.43,15117.03,58,Suburban,Yes,60.71,69.89,IT,24,Average
76,Individu-76,Laki-Laki,27,Sarjana,27465.31,8524.82,44,Suburban,No,63.63,60.1,Marketing,20,Average
77,Individu-77,Laki-Laki,42,Doktor,6531.34,14886.63,38,Urban,Yes,42.75,96.04,Marketing,17,Low Performer
78,Individu-78,Laki-Laki,40,SMA,15437.5,6440.46,76,Rural,No,29.44,65.31,Marketing,24,Low Performer
79,Individu-79,Perempuan,37,Diploma,3213.16,14680.09,40,Urban,No,33.5,69.19,HR,34,Low Performer
80,Individu-80,Laki-Laki,41,SMA,6799.49,17782.19,33,Suburban,Yes,31.07,80.56,Marketing,10,Low Performer
81,Individu-81,Laki-Laki,37,SMA,15332.31,16530.41,79,Suburban,Yes,22.61,57.36,Finance,6,Low Performer
82,Individu-82,Laki-Laki,62,Sarjana,10004.87,18352.04,30,Urban,No,28.89,93.26,Finance,22,Low Performer
83,Individu-83,Laki-Laki,36,Diploma,23471.84,5836.56,72,Rural,No,78.85,98.43,Finance,5,Average
84,Individu-84,Perempuan,38,Doktor,13257.69,17436.91,47,Rural,No,1.82,54.65,Operations,24,Low Performer
85,Individu-85,Laki-Laki,41,Sarjana,28485.8,7621.42,70,Urban,Yes,5.58,61.12,Operations,27,Low Performer
86,Individu-86,Perempuan,26,Doktor,9770.71,18083.95,61,Rural,No,27.34,75.4,IT,7,Low Performer
87,Individu-87,Laki-Laki,31,Doktor,14097.8,18099.14,59,Suburban,Yes,86.24,62.84,Marketing,35,Average
88,Individu-88,Perempuan,33,Diploma,21070.84,14495.51,48,Suburban,Yes,94.17,77.25,Finance,9,Average
89,Individu-89,Laki-Laki,56,Doktor,16850.65,18480.96,60,Rural,Yes,17.61,55.59,Finance,39,Low Performer
90,Individu-90,Laki-Laki,58,Diploma,8445.95,11940.46,28,Rural,No,2.35,71.3,HR,22,Low Performer
91,Individu-91,Laki-Laki,61,SMA,18993.69,11167.14,60,Suburban,Yes,97.98,56.14,HR,17,Average
92,Individu-92,Perempuan,49,SMA,22947.76,7833.69,33,Urban,No,56.43,92.61,Finance,22,Average
93,Individu-93,Laki-Laki,54,Diploma,26025.68,8249.27,36,Suburban,No,86.3,70.61,IT,26,Average
94,Individu-94,Perempuan,44,Diploma,27211.3,18033.43,55,Urban,Yes,15.7,51.26,Operations,37,Low Performer
95,Individu-95,Perempuan,32,Sarjana,9871.43,14918.42,26,Rural,Yes,74.74,83.84,Finance,17,Average
96,Individu-96,Laki-Laki,21,Doktor,10137.81,17037.09,74,Rural,No,41.78,70.52,Marketing,22,Low Performer
97,Individu-97,Perempuan,56,Sarjana,6046.71,3939.65,45,Suburban,Yes,92.42,56.02,HR,38,Average
98,Individu-98,Laki-Laki,57,SMA,11909.65,8232.48,11,Urban,Yes,19.86,91.35,Marketing,8,Low Performer
99,Individu-99,Laki-Laki,35,Diploma,20807.16,8806.98,38,Urban,No,39.31,91.35,Finance,10,Low Performer
100,Individu-100,Perempuan,48,Doktor,6924.88,9136.38,10,Rural,No,42.14,72.19,IT,18,Low Performer
101,Individu-101,Laki-Laki,23,Sarjana,19143.75,10519.28,77,Urban,Yes,21.54,95.97,IT,4,Low Performer
102,Individu-102,Perempuan,60,Sarjana,25584.92,17938.07,10,Urban,No,64.63,79.68,HR,7,Average
103,Individu-103,Laki-Laki,50,Diploma,15838.03,16032.28,13,Rural,No,1.48,69.46,Marketing,23,Low Performer
104,Individu-104,Perempuan,27,Magister,4952.58,10052.38,59,Suburban,No,29.86,62.03,IT,6,Low Performer
105,Individu-105,Perempuan,40,Doktor,23955.9,2301.67,14,Rural,No,47.1,62.61,Finance,16,Low Performer
106,Individu-106,Perempuan,41,SMA,8981.33,8093.25,80,Urban,Yes,5.43,76.49,HR,36,Low Performer
107,Individu-107,Perempuan,41,Sarjana,11635.63,10136.94,44,Rural,No,5.19,53.17,HR,2,Low Performer
108,Individu-108,Laki-Laki,51,Doktor,5486.42,15906.47,29,Urban,No,93.66,55.59,Marketing,6,Average
109,Individu-109,Laki-Laki,41,SMA,18113.55,15317.88,19,Rural,Yes,19.89,52.72,Marketing,15,Low Performer
110,Individu-110,Perempuan,30,Doktor,6524.72,9878.56,44,Rural,No,33.63,73.34,Operations,32,Low Performer
111,Individu-111,Laki-Laki,62,Doktor,10203.14,5434.41,61,Suburban,Yes,45.39,66.06,IT,1,Low Performer
112,Individu-112,Laki-Laki,41,SMA,28868.06,18779.64,16,Suburban,Yes,13.6,96.03,IT,5,Low Performer
113,Individu-113,Perempuan,47,Doktor,12653.83,14069.75,68,Urban,Yes,44.95,61.1,Finance,13,Low Performer
114,Individu-114,Perempuan,49,Sarjana,8128.82,12908.86,38,Suburban,Yes,60.8,73.82,Finance,40,Average
115,Individu-115,Laki-Laki,29,Doktor,27583.32,5864.53,57,Suburban,No,3.69,67.11,Operations,12,Low Performer
116,Individu-116,Perempuan,56,Sarjana,25172.56,16170.41,69,Suburban,No,28.24,67.91,Marketing,26,Low Performer
117,Individu-117,Laki-Laki,36,Sarjana,25062.81,16080.88,78,Rural,Yes,22.78,90.28,Marketing,8,Low Performer
118,Individu-118,Laki-Laki,27,Diploma,19637.8,19994.02,26,Suburban,Yes,19.3,58.55,HR,39,Low Performer
119,Individu-119,Laki-Laki,61,SMA,2032.2,13786.35,56,Urban,No,54.27,99.4,HR,27,Average
120,Individu-120,Laki-Laki,22,Diploma,25311.36,16317.49,76,Rural,Yes,82.49,52.41,HR,40,Average
121,Individu-121,Perempuan,52,Sarjana,21057.83,10407.5,39,Urban,No,82.03,67.73,Marketing,25,Average
122,Individu-122,Perempuan,46,Sarjana,29338.93,19195.98,77,Urban,Yes,5.12,84.91,Finance,1,Low Performer
123,Individu-123,Laki-Laki,39,SMA,15567.56,9591.8,32,Suburban,No,59.67,88.97,Marketing,15,Average
124,Individu-124,Perempuan,21,Doktor,27616.24,3958.1,12,Suburban,No,9.23,87.06,IT,22,Low Performer
125,Individu-125,Laki-Laki,56,Diploma,24036.86,9080.64,77,Suburban,No,37.77,95.14,Finance,18,Low Performer
126,Individu-126,Laki-Laki,30,SMA,29585.35,13054.16,33,Urban,No,90.34,56.37,Finance,30,Average
127,Individu-127,Laki-Laki,47,Sarjana,14838.8,9769.85,68,Rural,No,71.27,93.95,Finance,40,Average
128,Individu-128,Laki-Laki,19,Magister,4164.29,14781.36,22,Suburban,Yes,62.72,88.16,HR,29,Average
129,Individu-129,Perempuan,57,Magister,5933.03,6247.86,62,Rural,Yes,28.91,66.89,HR,14,Low Performer
130,Individu-130,Perempuan,54,SMA,15006.37,4917.14,31,Rural,No,55.68,97.69,HR,6,Average
131,Individu-131,Laki-Laki,41,SMA,6777.36,1001.64,44,Urban,Yes,92.81,97.75,Finance,12,High Performer
132,Individu-132,Laki-Laki,30,Magister,17299.64,6780.07,53,Urban,No,32.49,73.01,Marketing,10,Low Performer
133,Individu-133,Laki-Laki,54,Magister,1797.12,18934.89,45,Suburban,Yes,79.8,89.69,HR,12,Average
134,Individu-134,Laki-Laki,32,Doktor,7060.11,363.46,16,Urban,Yes,56.43,89.41,Finance,13,Average
135,Individu-135,Perempuan,21,SMA,13694.05,18966.77,27,Urban,Yes,62.07,64.93,Finance,22,Average
136,Individu-136,Laki-Laki,56,Doktor,26678.52,8962.62,76,Rural,Yes,27.86,89.66,IT,30,Low Performer
137,Individu-137,Laki-Laki,33,Magister,17913.48,16052.17,75,Urban,Yes,18.48,62.36,HR,3,Low Performer
138,Individu-138,Perempuan,22,SMA,7926.06,14108.66,58,Rural,No,22.98,87.41,IT,19,Low Performer
139,Individu-139,Perempuan,36,Magister,26882.64,5540.24,72,Urban,Yes,59.18,59.14,Marketing,28,Average
140,Individu-140,Laki-Laki,57,SMA,25985.03,3697.44,11,Rural,No,58.88,74.69,Operations,7,Average
141,Individu-141,Perempuan,41,Sarjana,23575.39,3302.14,15,Urban,No,40.57,64.28,Marketing,25,Low Performer
142,Individu-142,Laki-Laki,18,SMA,28824.55,6501.56,45,Urban,No,51.74,75.38,Finance,29,Average
143,Individu-143,Laki-Laki,36,Diploma,4227.64,3557.72,48,Urban,Yes,77.16,75.38,Operations,15,Average
144,Individu-144,Perempuan,29,Doktor,20976.8,15754.01,49,Rural,Yes,67.61,79.08,HR,32,Average
145,Individu-145,Perempuan,49,Doktor,18775.65,5488.94,15,Urban,No,35.55,87.71,IT,9,Low Performer
146,Individu-146,Perempuan,42,Diploma,7817.8,10711.64,68,Suburban,Yes,67.76,92.34,Operations,36,Average
147,Individu-147,Laki-Laki,53,Diploma,3986.21,4041.43,45,Suburban,Yes,38.17,69.93,Operations,38,Low Performer
148,Individu-148,Laki-Laki,46,Magister,15178.6,7738.79,33,Urban,Yes,64.95,58.77,Operations,11,Average
149,Individu-149,Laki-Laki,34,Diploma,9055.22,5966.98,44,Rural,No,37.86,52.12,HR,1,Low Performer
150,Individu-150,Perempuan,26,Diploma,12371.19,10925.88,33,Suburban,No,19.0,76.19,Operations,36,Low Performer
151,Individu-151,Perempuan,42,SMA,15731.68,17049.5,80,Urban,No,51.6,95.55,IT,28,Average
152,Individu-152,Perempuan,40,Doktor,19956.91,12904.93,10,Urban,Yes,53.43,68.04,Operations,19,Average
153,Individu-153,Perempuan,34,Magister,9334.7,4733.98,18,Rural,Yes,76.96,68.53,Marketing,23,Average
154,Individu-154,Perempuan,65,Sarjana,14038.99,4530.25,57,Suburban,Yes,58.71,96.68,Marketing,2,Average
155,Individu-155,Laki-Laki,18,SMA,7669.7,6387.57,64,Urban,No,30.34,70.34,Finance,9,Low Performer
156,Individu-156,Laki-Laki,57,Diploma,23241.51,15984.67,79,Rural,No,46.33,69.08,Operations,9,Low Performer
157,Individu-157,Laki-Laki,25,Sarjana,23168.92,5490.85,61,Suburban,Yes,85.74,73.6,IT,37,Average
158,Individu-158,Laki-Laki,48,Sarjana,11672.6,9565.83,64,Suburban,Yes,21.18,95.81,Operations,16,Low Performer
159,Individu-159,Laki-Laki,64,Magister,13577.98,16516.18,76,Rural,No,32.36,83.93,Finance,13,Low Performer
160,Individu-160,Laki-Laki,18,Diploma,9681.63,12646.2,23,Suburban,Yes,39.26,80.78,HR,36,Low Performer
161,Individu-161,Perempuan,61,Diploma,26614.15,8757.7,41,Suburban,No,46.81,86.34,Operations,32,Low Performer
162,Individu-162,Laki-Laki,45,Doktor,5769.2,18869.13,72,Suburban,Yes,76.64,94.69,IT,31,Average
163,Individu-163,Laki-Laki,25,Magister,2227.38,12340.33,46,Rural,No,62.12,54.04,HR,25,Average
164,Individu-164,Laki-Laki,35,SMA,15707.85,15037.62,40,Rural,Yes,94.11,61.89,Operations,12,Average
165,Individu-165,Laki-Laki,32,Sarjana,24330.64,14670.75,12,Urban,Yes,74.31,71.93,HR,6,Average
166,Individu-166,Perempuan,49,Diploma,26199.89,767.04,38,Urban,No,7.68,91.11,Finance,20,Low Performer
167,Individu-167,Perempuan,44,Sarjana,25813.37,4250.91,28,Rural,Yes,45.87,60.7,Marketing,10,Low Performer
168,Individu-168,Laki-Laki,32,Diploma,5743.24,12118.81,39,Rural,No,19.41,81.58,Finance,17,Low Performer
169,Individu-169,Laki-Laki,18,Sarjana,11147.31,14409.72,37,Suburban,Yes,22.82,52.33,Operations,31,Low Performer
170,Individu-170,Laki-Laki,28,Sarjana,14172.02,13274.65,55,Rural,Yes,36.56,55.82,Marketing,15,Low Performer
171,Individu-171,Laki-Laki,56,Doktor,24660.89,15305.28,41,Rural,Yes,44.05,87.5,HR,9,Low Performer
172,Individu-172,Perempuan,23,Diploma,17067.79,16272.24,15,Suburban,Yes,15.28,72.1,Operations,11,Low Performer
173,Individu-173,Laki-Laki,45,Doktor,17239.74,4704.25,46,Urban,Yes,1.78,64.75,Finance,33,Low Performer
174,Individu-174,Perempuan,35,Diploma,12258.9,8067.13,26,Rural,Yes,59.54,75.15,Operations,7,Average
175,Individu-175,Laki-Laki,40,Magister,7851.2,13708.92,46,Urban,Yes,55.97,73.08,Finance,14,Average
176,Individu-176,Laki-Laki,65,Diploma,19414.92,7578.92,35,Suburban,Yes,43.54,99.67,IT,15,Low Performer
177,Individu-177,Laki-Laki,58,Diploma,24712.83,16591.93,60,Urban,Yes,61.9,89.79,HR,6,Average
178,Individu-178,Perempuan,45,Sarjana,4041.95,18965.85,63,Suburban,Yes,57.02,96.51,Finance,6,Average
179,Individu-179,Laki-Laki,37,Sarjana,17081.03,6653.67,13,Urban,Yes,20.92,63.79,Marketing,20,Low Performer
180,Individu-180,Laki-Laki,53,SMA,7245.75,11334.28,23,Rural,Yes,38.13,78.93,Finance,38,Low Performer
181,Individu-181,Laki-Laki,44,Magister,15161.07,17629.98,20,Rural,No,67.32,93.7,Finance,25,Average
182,Individu-182,Laki-Laki,52,SMA,5870.39,6707.86,41,Urban,Yes,87.67,79.93,Operations,32,Average
183,Individu-183,Perempuan,25,Sarjana,2080.73,9230.66,51,Suburban,No,48.81,66.62,Operations,29,Low Performer
184,Individu-184,Perempuan,55,Sarjana,5393.09,10877.92,30,Suburban,Yes,45.05,66.01,Operations,25,Low Performer
185,Individu-185,Laki-Laki,28,Diploma,13072.26,5286.67,19,Urban,No,81.77,69.29,IT,36,Average
186,Individu-186,Laki-Laki,49,SMA,8105.26,7759.15,15,Urban,No,90.82,89.97,Operations,27,High Performer
187,Individu-187,Perempuan,32,SMA,19548.14,2322.1,38,Rural,Yes,51.23,69.32,Finance,19,Average
188,Individu-188,Perempuan,24,SMA,19456.2,10846.71,76,Rural,Yes,31.9,62.82,Finance,34,Low Performer
189,Individu-189,Laki-Laki,41,Magister,17049.33,18586.11,56,Rural,Yes,47.56,95.44,Marketing,33,Low Performer
190,Individu-190,Laki-Laki,48,Diploma,5106.65,15406.75,37,Suburban,Yes,55.35,77.83,Marketing,27,Average
191,Individu-191,Laki-Laki,48,Sarjana,29072.61,18325.33,41,Rural,No,38.42,79.13,IT,24,Low Performer
192,Individu-192,Laki-Laki,55,Diploma,6477.08,13265.43,52,Rural,Yes,85.9,71.87,IT,39,Average
193,Individu-193,Perempuan,57,Sarjana,15758.18,18177.55,33,Rural,Yes,95.15,81.73,Marketing,23,High Performer
194,Individu-194,Laki-Laki,55,Diploma,3450.53,7817.54,72,Rural,No,74.93,64.69,HR,25,Average
195,Individu-195,Perempuan,31,SMA,4437.01,8941.83,13,Urban,No,39.6,59.33,Operations,35,Low Performer
196,Individu-196,Perempuan,54,SMA,10013.03,6061.81,64,Suburban,No,10.3,76.78,Finance,19,Low Performer
197,Individu-197,Perempuan,61,Doktor,13407.48,7922.23,27,Rural,No,88.61,85.13,IT,33,High Performer
198,Individu-198,Laki-Laki,63,SMA,26176.06,13478.36,47,Rural,No,43.88,62.49,Operations,17,Low Performer
199,Individu-199,Laki-Laki,56,Doktor,7515.26,14927.6,67,Suburban,No,84.69,80.88,Finance,3,High Performer
200,Individu-200,Perempuan,37,Magister,6562.0,19030.04,73,Urban,Yes,26.08,50.56,HR,4,Low Performer
201,Individu-201,Perempuan,28,SMA,6008.06,5743.54,71,Rural,Yes,65.12,99.97,Finance,12,Average
202,Individu-202,Laki-Laki,20,Sarjana,19427.72,4238.74,73,Rural,No,89.06,64.87,Operations,33,Average
203,Individu-203,Perempuan,41,Doktor,8797.34,18292.87,77,Urban,No,70.9,69.29,Finance,8,Average
204,Individu-204,Laki-Laki,20,Sarjana,14611.71,10925.85,24,Rural,Yes,45.86,62.64,Finance,4,Low Performer
205,Individu-205,Perempuan,33,Diploma,15797.54,2241.69,41,Suburban,No,71.61,54.35,HR,38,Average
206,Individu-206,Laki-Laki,47,Magister,4644.11,14387.97,68,Rural,No,56.49,93.54,Operations,35,Average
207,Individu-207,Laki-Laki,27,Doktor,18701.72,18284.29,62,Urban,Yes,26.63,65.75,Marketing,25,Low Performer
208,Individu-208,Perempuan,59,Diploma,17596.27,1982.38,19,Suburban,Yes,47.53,81.26,Operations,33,Low Performer
209,Individu-209,Laki-Laki,28,Magister,12104.85,9025.69,35,Rural,Yes,3.02,73.4,HR,14,Low Performer
210,Individu-210,Perempuan,46,Doktor,11530.78,4918.46,63,Urban,Yes,85.2,75.35,Finance,38,Average
211,Individu-211,Perempuan,35,Diploma,12328.65,16534.95,64,Rural,Yes,64.39,98.53,Marketing,32,Average
212,Individu-212,Laki-Laki,64,Sarjana,24867.91,3738.04,21,Urban,No,13.26,62.96,IT,40,Low Performer
213,Individu-213,Laki-Laki,40,Magister,23488.75,18983.49,69,Urban,No,26.77,82.28,Operations,13,Low Performer
214,Individu-214,Laki-Laki,61,Diploma,24503.71,3147.49,14,Rural,Yes,70.16,61.11,IT,37,Average
215,Individu-215,Perempuan,56,Doktor,27111.73,11834.85,13,Suburban,No,87.22,57.74,IT,8,Average
216,Individu-216,Perempuan,27,Sarjana,13817.32,6381.32,64,Suburban,No,88.93,77.66,Operations,35,Average
217,Individu-217,Perempuan,37,Diploma,6238.42,1797.25,29,Suburban,Yes,31.85,89.21,Marketing,38,Low Performer
218,Individu-218,Laki-Laki,25,Diploma,6476.38,17925.74,71,Urban,Yes,97.05,65.57,IT,12,Average
219,Individu-219,Laki-Laki,45,Magister,7589.21,949.56,75,Suburban,Yes,16.8,63.91,HR,27,Low Performer
220,Individu-220,Laki-Laki,32,Diploma,29060.35,7935.18,45,Urban,Yes,14.18,81.57,HR,33,Low Performer
221,Individu-221,Perempuan,47,Sarjana,28452.39,14373.91,13,Suburban,Yes,94.77,69.62,Marketing,27,Average
222,Individu-222,Laki-Laki,32,Magister,5572.01,8767.64,71,Urban,Yes,89.77,54.12,Marketing,13,Average
223,Individu-223,Perempuan,55,Diploma,23586.04,12986.59,36,Rural,Yes,35.17,57.56,Finance,6,Low Performer
224,Individu-224,Laki-Laki,38,Diploma,19379.2,10739.05,71,Suburban,No,28.04,52.73,Marketing,24,Low Performer
225,Individu-225,Perempuan,26,Sarjana,28312.4,13676.22,54,Rural,No,32.59,64.66,Finance,13,Low Performer
226,Individu-226,Laki-Laki,53,Doktor,20375.61,4936.56,20,Urban,Yes,61.25,87.38,Marketing,30,Average
227,Individu-227,Perempuan,56,Diploma,24976.87,5549.83,65,Rural,Yes,80.47,73.33,HR,11,Average
228,Individu-228,Laki-Laki,51,Sarjana,25965.22,12644.17,17,Rural,Yes,36.62,96.9,Finance,27,Low Performer
229,Individu-229,Laki-Laki,59,Diploma,16106.01,2901.44,60,Urban,No,36.69,50.13,HR,16,Low Performer
230,Individu-230,Perempuan,34,SMA,22872.87,16808.36,29,Suburban,Yes,37.24,80.15,IT,40,Low Performer
